open,high,low,close,tick_volume,atr14,rsi14,ma50,ma200,signal,position,net_pnl,cum_pnl
4608.91,4611.28,4606.42,4610.31,7386,8.38071428571428,45.71041029772937,4608.738399999999,4597.27065,-1,0,0.0,0.0
4610.31,4611.35,4603.39,4607.68,6127,7.7971428571428465,46.59522985391783,4608.4444,4597.782200000001,-1,0,-0.0,0.0
4607.68,4608.11,4598.5,4599.96,11342,7.622857142857096,45.25768002965267,4607.9084,4598.22035,-1,0,-0.0,0.0
4599.96,4607.35,4593.86,4606.07,15821,8.002142857142903,46.08134919568157,4607.848,4598.7321,-1,0,0.0,0.0
4606.07,4608.58,4599.19,4600.55,14047,8.192857142857195,36.75568086723144,4607.5544,4599.20195,-1,0,-0.0,0.0
4600.55,4604.49,4596.97,4600.03,14016,8.386428571428562,33.27002761626727,4607.2212,4599.6827,-1,0,-0.0,0.0
4600.03,4600.98,4591.34,4594.97,16670,8.62999999999998,31.507521248510145,4606.8153999999995,4600.235199999999,0,-1,43.44999999999491,43.44999999999491
4594.98,4599.66,4594.44,4595.57,11723,8.710714285714273,31.31660927302096,4606.7176,4600.75615,0,-1,-5.900000000001455,37.54999999999345
4595.57,4597.4,4592.84,4596.41,7218,8.568571428571365,33.62563236980145,4606.646000000001,4601.25775,0,-1,-8.400000000001455,29.149999999991998
4596.41,4601.38,4596.12,4598.53,5900,7.827857142857089,43.63996042312604,4606.3938,4601.75605,0,-1,-21.19999999999891,7.949999999993089
4598.53,4602.0,4597.32,4601.16,5836,7.740714285714278,45.55704183761073,4606.3574,4602.26545,0,-1,-26.30000000000109,-18.350000000008002
4601.19,4601.6,4595.3,4601.25,6428,7.398571428571423,35.38217281707013,4606.677,4602.74495,0,-1,-0.6000000000040018,-18.950000000012004
